Food_ID,Food_Name,State,Meal_Type,Ingredients,Calories,Protein,Carbohydrates,Fat,Fiber,Iron,Calcium,Folate,Serving_Size,Vegetarian,Pregnancy_Safe,Best_Trimester,Ayurvedic_Nature
IF0134,Sikkim Idli with sambar,Sikkim,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0135,Sikkim Millet khichdi,Sikkim,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0136,Sikkim Dal rice plate,Sikkim,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0137,Sikkim Curd rice bowl,Sikkim,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0138,Sikkim Vegetable roti meal,Sikkim,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0139,Sikkim Steamed snack plate,Sikkim,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0140,Sikkim Nourishing beverage,Sikkim,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0141,Himachal Pradesh Idli with sambar,Himachal Pradesh,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0142,Himachal Pradesh Millet khichdi,Himachal Pradesh,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0143,Himachal Pradesh Dal rice plate,Himachal Pradesh,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0144,Himachal Pradesh Curd rice bowl,Himachal Pradesh,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0145,Himachal Pradesh Vegetable roti meal,Himachal Pradesh,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0146,Himachal Pradesh Steamed snack plate,Himachal Pradesh,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0147,Himachal Pradesh Nourishing beverage,Himachal Pradesh,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0148,Kashmir Idli with sambar,Kashmir,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0149,Kashmir Millet khichdi,Kashmir,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0150,Kashmir Dal rice plate,Kashmir,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0151,Kashmir Curd rice bowl,Kashmir,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0152,Kashmir Vegetable roti meal,Kashmir,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0153,Kashmir Steamed snack plate,Kashmir,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0154,Kashmir Nourishing beverage,Kashmir,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0155,Uttarakhand Idli with sambar,Uttarakhand,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0156,Uttarakhand Millet khichdi,Uttarakhand,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0157,Uttarakhand Dal rice plate,Uttarakhand,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0158,Uttarakhand Curd rice bowl,Uttarakhand,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0159,Uttarakhand Vegetable roti meal,Uttarakhand,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0160,Uttarakhand Steamed snack plate,Uttarakhand,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0161,Uttarakhand Nourishing beverage,Uttarakhand,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0162,Uttar Pradesh Idli with sambar,Uttar Pradesh,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0163,Uttar Pradesh Millet khichdi,Uttar Pradesh,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0164,Uttar Pradesh Dal rice plate,Uttar Pradesh,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0165,Uttar Pradesh Curd rice bowl,Uttar Pradesh,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0166,Uttar Pradesh Vegetable roti meal,Uttar Pradesh,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0167,Uttar Pradesh Steamed snack plate,Uttar Pradesh,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0168,Uttar Pradesh Nourishing beverage,Uttar Pradesh,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0169,Madhya Pradesh Idli with sambar,Madhya Pradesh,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0170,Madhya Pradesh Millet khichdi,Madhya Pradesh,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0171,Madhya Pradesh Dal rice plate,Madhya Pradesh,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0172,Madhya Pradesh Curd rice bowl,Madhya Pradesh,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0173,Madhya Pradesh Vegetable roti meal,Madhya Pradesh,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0174,Madhya Pradesh Steamed snack plate,Madhya Pradesh,Snack,"lentil or rice batter, vegetables, chutney",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0175,Madhya Pradesh Nourishing beverage,Madhya Pradesh,Beverage,"curd or grain drink, cumin, water",90,3,14,2,1,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0176,Chhattisgarh Idli with sambar,Chhattisgarh,Breakfast,"rice, urad dal, lentil sambar, vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0177,Chhattisgarh Millet khichdi,Chhattisgarh,Dinner,"local millet, moong dal, vegetables",250,13,40,6,10,5.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0178,Chhattisgarh Dal rice plate,Chhattisgarh,Lunch,"rice, lentils, seasonal vegetables",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
IF0179,Chhattisgarh Curd rice bowl,Chhattisgarh,Lunch,"rice, pasteurized curd, curry leaves",285,12,40,6,5,2,230,55,1 serving,Yes,Yes,All trimesters,"Moderate; keep spice, salt and oil balanced"
IF0180,Chhattisgarh Vegetable roti meal,Chhattisgarh,Dinner,"whole grain roti, dal, sabzi",250,13,40,6,8,3.5,70,120,1 serving,Yes,Yes,All trimesters,"Warm, grounding and Vata-pacifying"
